Rank,Ticker,Company,Industry,City,State,Zip,Website,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales),CEO
1,WMT,Walmart,General Merchandisers,Bentonville,Arkansas,72716,www.walmart.com,"2,100,000","$611,289","$397,475","$11,680",1.9,Douglas McMillon
2,AMZN,Amazon.com,Internet Services and Retailing,Seattle,Washington,98109,www.amazon.com,"1,541,000","$513,983","$1,058,440","-$2,722",-0.5,Andrew R. Jassy
3,XOM,Exxon Mobil,Petroleum Refining,Irving,Texas,75039,www.exxonmobil.com,"62,000","$413,680","$446,424","$55,740",13.5,Darren W. Woods
4,AAPL,Apple,"Computers, Office Equipment",Cupertino,California,95014,www.apple.com,"164,000","$394,328","$2,609,039","$99,803",25.3,Timothy D. Cook
5,UNH,UnitedHealth Group,Health Care: Insurance and Managed Care,Minnetonka,Minnesota,55343,www.unitedhealthgroup.com,"400,000","$324,162","$440,854","$20,120",6.2,Andrew P. Witty
6,CVS,CVS Health,Health Care: Pharmacy and Other Services,Woonsocket,Rhose Island,2895,www.cvshealth.com,"259,500","$322,467","$95,422","$4,149",1.3,Karen S. Lynch
7,BRKA,Berkshire Hathaway,Insurance: Property and Casualty (Stock),Omaha,Nebraska,68131,www.berkshirehathaway.com,"383,000","$302,089","$675,657","-$22,819",-7.6,Warren E. Buffett
8,GOOGL,Alphabet,Internet Services and Retailing,Mountain View,California,94043,www.abc.xyz,"190,234","$282,836","$1,330,201","$59,972",21.2,Sundar Pichai
9,MCK,McKesson,Wholesalers: Health Care,Irving,Texas,75039,www.mckesson.com,"66,500","$263,966","$48,757","$1,114",0.4,Brian S. Tyler
10,CVX,Chevron,Petroleum Refining,San Ramon,California,94583,www.chevron.com,"43,846","$246,252","$311,093","$35,465",14.4,Michael K. Wirth
11,ABC,AmerisourceBergen,Wholesalers: Health Care,Conshohocken,Pennsylvania,19428,www.amerisourcebergen.com,"41,500","$238,587","$32,384","$1,699",0.7,Steven H. Collis
12,COST,Costco Wholesale,General Merchandisers,Issaquah,Washington,98027,www.costco.com,"304,000","$226,954","$220,354","$5,844",2.6,Craig Jelinek
13,MSFT,Microsoft,Computer Software,Redmond,Washington,98052,www.microsoft.com,"221,000","$198,270","$2,146,049","$72,738",36.7,Satya Nadella
14,CAH,Cardinal Health,Wholesalers: Health Care,Dublin,Ohio,43017,www.cardinalhealth.com,"46,035","$181,364","$19,452",-$933,-0.5,Jason Hollar
15,CI,Cigna Group,Health Care: Pharmacy and Other Services,Bloomfield,Connecticut,6002,www.thecignagroup.com,"70,231","$180,516","$75,901","$6,668",3.7,David M. Cordani
16,MPC,Marathon Petroleum,Petroleum Refining,Findlay,Ohio,45840,www.marathonpetroleum.com,"17,800","$180,012","$59,544","$14,516",8.1,Michael J. Hennigan
17,PSX,Phillips 66,Petroleum Refining,Houston,Texas,77042,www.phillips66.com,"13,000","$175,702","$46,727","$11,024",6.3,Mark Lashier
18,VLO,Valero Energy,Petroleum Refining,San Antonio,Texas,78249,www.valero.com,"9,743","$171,189","$51,351","$11,528",6.7,Joseph W. Gorder
19,F,Ford Motor,Motor Vehicles & Parts,Dearborn,Michigan,48126,www.ford.com,"173,000","$158,057","$50,400","-$1,981",-1.3,Jim Farley
20,HD,Home Depot,Specialty Retailers: Other,Atlanta,Georgia,30339,www.homedepot.com,"471,600","$157,403","$299,534","$17,105",10.9,Ted Decker
21,GM,General Motors,Motor Vehicles & Parts,Detroit,Michigan,48265,www.gm.com,"167,000","$156,735","$51,155","$9,934",6.3,Mary T. Barra
22,ELV,Elevance Health,Health Care: Insurance and Managed Care,Indianapolis,Indiana,46204,www.elevancehealth.com,"102,300","$156,595","$109,098","$6,025",3.8,Gail K. Boudreaux
23,JPM,JPMorgan Chase,Commercial Banks,New York,New York,10179,www.jpmorganchase.com,"293,723","$154,792","$383,549","$37,676",24.3,Jamie Dimon
24,KR,Kroger,Food and Drug Stores,Cincinnati,Ohio,45202,www.thekrogerco.com,"430,000","$148,258","$35,421","$2,244",1.5,Rodney Mcmullen
25,CNC,Centene,Health Care: Insurance and Managed Care,St. Louis,Missouri,63105,www.centene.com,"74,300","$144,547","$34,810","$1,202",0.8,Sarah M. London
26,VZ,Verizon Communications,Telecommunications,New York,New York,10036,www.verizon.com,"117,100","$136,835","$163,333","$21,256",15.5,Hans E. Vestberg
27,WBA,Walgreens Boots Alliance,Food and Drug Stores,Deerfield,Illinois,60015,www.walgreensbootsalliance.com,"262,500","$132,703","$29,836","$4,337",3.3,Roz Brewer
28,FNMA,Fannie Mae,Diversified Financials,Washington,District of Columbia,20005,www.fanniemae.com,"8,000","$121,596",$475,"$12,923",10.6,Priscilla Almodovar
29,CMCSA,Comcast,Telecommunications,Philadelphia,Pennsylvania,19103,www.comcastcorporation.com,"186,000","$121,427","$159,831","$5,370",4.4,Brian L. Roberts
30,T,AT&T,Telecommunications,Dallas,Texas,75202,www.att.com,"160,700","$120,741","$137,250","-$8,524",-7.1,John T. Stankey
31,META,Meta Platforms,Internet Services and Retailing,Menlo Park,California,94025,www.fb.com,"86,482","$116,609","$549,484","$23,200",19.9,Mark Zuckerberg
32,BAC,Bank of America,Commercial Banks,Charlotte,North Carolina,28255,www.bankofamerica.com,"216,823","$115,053","$228,780","$27,528",23.9,
33,TGT,Target,General Merchandisers,Minneapolis,Minnesota,55403,www.target.com,"440,000","$109,120","$76,250","$2,780",2.5,Brian C. Cornell
34,DELL,Dell Technologies,"Computers, Office Equipment",Round Rock,Texas,78682,www.delltechnologies.com,"133,000","$102,301","$29,402","$2,442",2.4,Michael S. Dell
35,ADM,Archer Daniels Midland,Food Production,Chicago,Illinois,60601,www.adm.com,"41,181","$101,556","$43,530","$4,340",4.3,Juan R. Luciano
36,C,Citigroup,Commercial Banks,New York,New York,10013,www.citigroup.com,"238,104","$101,078","$91,270","$14,845",14.7,Jane Fraser
37,UPS,United Parcel Service,"Mail, Package and Freight Delivery",Atlanta,Georgia,30328,www.ups.com,"404,700","$100,338","$166,189","$11,548",11.5,Carol B. Tome
38,PFE,Pfizer,Pharmaceuticals,New York,New York,10001,www.pfizer.com,"83,000","$100,330","$230,292","$31,372",31.3,Albert Bourla
39,LOW,Lowe's,Specialty Retailers: Other,Mooresville,North Carolina,28117,www.lowes.com,"244,500","$97,059","$119,253","$6,437",6.6,Marvin R. Ellison
40,JNJ,Johnson & Johnson,Pharmaceuticals,New Brunswick,New Jersey,8933,www.jnj.com,"152,700","$94,943","$483,576","$17,941",18.9,
41,FDX,FedEx,"Mail, Package and Freight Delivery",Memphis,Tennessee,38120,www.fedex.com,"464,400","$93,512","$57,431","$3,826",4.1,Raj Subramaniam
42,HUM,Humana,Health Care: Insurance and Managed Care,Louisville,Kentucky,40202,www.humana.com,"67,100","$92,870","$60,719","$2,806",3,Bruce D. Broussard
43,ET,Energy Transfer,Pipelines,Dallas,Texas,75225,www.energytransfer.com,"12,565","$89,876","$38,590","$4,756",5.3,Thomas E. Long
45,FMCC,Freddie Mac,Diversified Financials,McLean,Virginia,22102,www.freddiemac.com,"7,819","$86,717",$266,"$9,327",10.8,Michael Devito
46,PEP,PepsiCo,Food Consumer Products,Purchase,New York,10577,www.pepsico.com,"315,000","$86,392","$251,085","$8,910",10.3,Ramon L. Laguarta
47,WFC,Wells Fargo,Commercial Banks,San Francisco,California,94104,www.wellsfargo.com,"238,000","$82,859","$141,188","$13,182",15.9,Charles W. Scharf
48,DIS,Walt Disney,Entertainment,Burbank,California,91521,www.thewaltdisneycompany.com,"195,800","$82,722","$182,920","$3,145",3.8,Robert A. Chapek
49,COP,ConocoPhillips,"Mining, Crude-Oil Production",Houston,Texas,77079,www.conocophillips.com,"9,500","$82,156","$120,777","$18,680",22.7,Ryan M. Lance
50,TSLA,Tesla,Motor Vehicles & Parts,Austin,Texas,78725,www.tesla.com,"127,855","$81,462","$656,425","$12,556",15.4,
51,PG,Procter & Gamble,Household and Personal Products,Cincinnati,Ohio,45202,www.pg.com,"106,000","$80,187","$350,781","$14,742",18.4,Jon R. Moeller
52,GE,General Electric,Industrial Machinery,Boston,Massachusetts,2210,www.ge.com,"172,000","$76,555","$104,231",$225,0.3,Lawrence Culp
53,ACI,Albertsons,Food and Drug Stores,Boise,Idaho,83706,www.albertsonscompanies.com,"195,750","$71,887","$11,132","$1,620",2.3,Vivek Sankaran
54,MET,MetLife,"Insurance: Life, Health (Stock)",New York,New York,10166,www.metlife.com,"45,000","$69,898","$44,867","$2,539",3.6,Michel A. Khalaf
55,GS,Goldman Sachs Group,Commercial Banks,New York,New York,10282,www.goldmansachs.com,"48,500","$68,711","$113,964","$11,261",16.4,David M. Solomon
56,SYY,Sysco,Wholesalers: Food and Grocery,Houston,Texas,77077,www.sysco.com,"70,510","$68,636","$39,202","$1,359",2,Kevin P. Hourican
57,RTX,Raytheon Technologies,Aerospace & Defense,Arlington,Virginia,22209,www.rtx.com,"182,000","$67,074","$143,292","$5,197",7.7,Gregory J. Hayes
58,BA,Boeing,Aerospace & Defense,Arlington,Virginia,22202,www.boeing.com,"156,000","$66,608","$127,283","-$4,935",-7.4,David L. Calhoun
59,SNEX,StoneX Group,Diversified Financials,New York,New York,10169,www.stonex.com,"3,615","$66,036","$2,138",$207,0.3,Sean M. O'Connor
60,LMT,Lockheed Martin,Aerospace & Defense,Bethesda,Maryland,20817,www.lockheedmartin.com,"116,000","$65,984","$120,319","$5,732",8.7,Jim Taiclet
61,MS,Morgan Stanley,Commercial Banks,New York,New York,10036,www.morganstanley.com,"82,427","$65,936","$147,674","$11,029",16.7,James P. Gorman
62,INTC,Intel,Semiconductors and Other Electronic Components,Santa Clara,California,95054,www.intel.com,"131,900","$63,054","$136,268","$8,014",12.7,Patrick P. Gelsinger
63,HPQ,HP,"Computers, Office Equipment",Palo Alto,California,94304,www.hp.com,"58,000","$62,983","$28,919","$3,203",5.1,Enrique J. Lores
64,SNX,TD Synnex,Wholesalers: Electronics and Office Equipment,Fremont,California,94538,www.tdsynnex.com,"28,500","$62,344","$9,061",$651,1,Richard T. Hume
65,IBM,International Business Machines,Information Technology Services,Armonk,New York,10504,www.ibm.com,"303,100","$60,530","$118,913","$1,639",2.7,Arvind Krishna
66,HCA,HCA Healthcare,Health Care: Medical Facilities,Nashville,Tennessee,37203,www.hcahealthcare.com,"250,500","$60,233","$73,107","$5,643",9.4,Samuel N. Hazen
67,PRU,Prudential Financial,"Insurance: Life, Health (Stock)",Newark,New Jersey,7102,www.prudential.com,"39,583","$60,050","$30,363","-$1,438",-2.4,Charles F. Lowrey
68,CAT,Caterpillar,Construction and Farm Machinery,Irving,Texas,75039,www.caterpillar.com,"109,100","$59,427","$118,161","$6,705",11.3,Jim Umpleby
69,MRK,Merck,Pharmaceuticals,Rahway,New Jersey,7065,www.merck.com,"68,000","$59,283","$270,081","$14,519",24.5,
70,INT,World Fuel Services,Energy,Miami,Florida,33178,www.wfscorp.com,"5,214","$59,043","$1,585",$114,0.2,Michael J. Kasbar
72,EPD,Enterprise Products Partners,Pipelines,Houston,Texas,77002,www.enterpriseproducts.com,"7,300","$58,186","$56,224","$5,490",9.4,James Teague
73,ABBV,AbbVie,Pharmaceuticals,North Chicago,Illinois,60064,www.abbvie.com,"50,000","$58,054","$281,151","$11,836",20.4,Richard A. Gonzalez
74,PAGP,Plains GP Holdings,Pipelines,Houston,Texas,77002,www.plains.com,"4,100","$57,342","$2,551",$168,0.3,Willie Chiang
75,DOW,Dow,Chemicals,Midland,Michigan,48674,www.dow.com,"37,800","$56,902","$38,812","$4,582",8.1,James R. Fitterling
76,AIG,American International Group,Insurance: Property and Casualty (Stock),New York,New York,10020,www.aig.com,"26,200","$56,437","$36,948","$10,276",18.2,Peter S. Zaffino
77,AXP,American Express,Diversified Financials,New York,New York,10285,www.americanexpress.com,"77,300","$55,625","$122,734","$7,514",13.5,
79,CHTR,Charter Communications,Telecommunications,Stamford,Connecticut,6902,www.charter.com,"101,700","$54,022","$60,477","$5,055",9.4,Christopher Winfrey
80,TSN,Tyson Foods,Food Production,Springdale,Arkansas,72762,www.tysonfoods.com,"142,000","$53,282","$21,096","$3,238",6.1,Donnie D. King
81,DE,Deere,Construction and Farm Machinery,Moline,Illinois,61265,www.deere.com,"82,239","$52,577","$122,346","$7,131",13.6,John C. May
82,CSCO,Cisco Systems,Network and Other Communications Equipment,San Jose,California,95134,www.cisco.com,"83,300","$51,557","$214,109","$11,812",22.9,Chuck Robbins
84,ALL,Allstate,Insurance: Property and Casualty (Stock),Northbrook,Illinois,60062,www.allstate.com,"54,250","$51,412","$29,180","-$1,311",-2.6,Tom Wilson
85,DAL,Delta Air Lines,Airlines,Atlanta,Georgia,30354,www.delta.com,"95,000","$50,582","$22,392","$1,318",2.6,Ed Bastian
87,TJX,TJX,Specialty Retailers: Apparel,Framingham,Massachusetts,1701,www.tjx.com,"329,000","$49,936","$90,315","$3,498",7,Ernie L. Herrman
88,PGR,Progressive,Insurance: Property and Casualty (Stock),Mayfield Village,Ohio,44143,www.progressive.com,"55,063","$49,611","$83,743",$722,1.5,Tricia Griffith
89,AAL,American Airlines Group,Airlines,Fort Worth,Texas,76155,www.aa.com,"129,700","$48,971","$9,629",$127,0.3,Robert D. Isom
91,PFGC,Performance Food Group,Wholesalers: Food and Grocery,Richmond,Virginia,23238,www.pfgc.com,"34,825","$47,194","$9,422",$113,0.2,George L. Holm
92,PBF,PBF Energy,Petroleum Refining,Parsippany,New Jersey,7054,www.pbfenergy.com,"3,616","$46,830","$5,589","$2,877",6.1,Thomas J. Nimbley
93,NKE,Nike,Apparel,Beaverton,Oregon,97005,www.nike.com,"79,100","$46,710","$190,161","$6,046",12.9,John Donahoe
94,BBY,Best Buy,Specialty Retailers: Other,Richfield,Minnesota,55423,www.investors.bestbuy.com,"71,100","$46,298","$17,066","$1,419",3.1,Corie S. Barry
95,BMY,Bristol-Myers Squibb,Pharmaceuticals,New York,New York,10016,www.bms.com,"34,300","$46,159","$145,780","$6,327",13.7,Giovanni Caforio
96,UAL,United Airlines Holdings,Airlines,Chicago,Illinois,60606,www.united.com,"92,795","$44,955","$14,474",$737,1.6,Scott Kirby
97,TMO,Thermo Fisher Scientific,"Scientific, Photographic and Control Equipment",Waltham,Massachusetts,2451,www.thermofisher.com,"130,000","$44,915","$222,150","$6,950",15.5,Marc N. Casper
98,QCOM,Qualcomm,Semiconductors and Other Electronic Components,San Diego,California,92121,www.qualcomm.com,"51,000","$44,200","$142,252","$12,936",29.3,
99,ABT,Abbott Laboratories,Medical Products and Equipment,Abbott Park,Illinois,60064,www.abbott.com,"115,000","$43,653","$175,984","$6,933",15.9,Robert B. Ford
100,KO,Coca-Cola,Beverages,Atlanta,Georgia,30313,www.coca-colacompany.com,"82,500","$43,004","$268,361","$9,542",22.2,James R. Quincey
101,ORCL,Oracle,Computer Software,Austin,Texas,78741,www.oracle.com,"143,000","$42,440","$250,866","$6,717",15.8,Safra A. Catz
102,NUE,Nucor,Metals,Charlotte,North Carolina,28211,www.nucor.com,"31,400","$41,513","$38,917","$7,607",18.3,Leon J. Topalian
105,GD,General Dynamics,Aerospace & Defense,Reston,Virginia,20190,www.gd.com,"106,500","$39,407","$62,692","$3,390",8.6,Phebe N. Novakovic
106,COF,Capital One Financial,Commercial Banks,McLean,Virginia,22102,www.capitalone.com,"55,943","$38,373","$36,776","$7,360",19.2,Richard D. Fairbank
107,DINO,HF Sinclair,Petroleum Refining,Dallas,Texas,75201,www.hfsinclair.com,"5,223","$38,205","$9,492","$2,923",7.7,Tim Go
108,DG,Dollar General,Specialty Retailers: Other,Goodlettsville,Tennessee,37072,www.dollargeneral.com,"170,000","$37,845","$46,114","$2,416",6.4,Jeffery Owen
109,ARW,Arrow Electronics,Wholesalers: Electronics and Office Equipment,Centennial,Colorado,80112,www.arrow.com,"22,300","$37,124","$7,278","$1,427",3.8,Sean J. Kerins
110,OXY,Occidental Petroleum,"Mining, Crude-Oil Production",Houston,Texas,77046,www.oxy.com,"11,973","$37,095","$56,069","$13,304",35.9,Vicki Hollub
112,TRV,Travelers,Insurance: Property and Casualty (Stock),New York,New York,10017,www.travelers.com,"32,175","$36,884","$39,783","$2,842",7.7,Alan Schnitzer
113,NOC,Northrop Grumman,Aerospace & Defense,Falls Church,Virginia,22042,www.northropgrumman.com,"95,000","$36,602","$70,203","$4,896",13.4,Kathy Warden
115,HON,Honeywell International,"Electronics, Electrical Equip.",Charlotte,North Carolina,28202,www.honeywell.com,"97,000","$35,466","$127,695","$4,966",14,Vimal Kapur
116,MMM,3M,Chemicals,St. Paul,Minnesota,55144,www.3m.com,"92,000","$34,229","$57,965","$5,777",16.9,Michael F. Roman
117,USFD,US Foods Holding,Wholesalers: Food and Grocery,Rosemont,Illinois,60018,www.usfoods.com,"29,000","$34,057","$8,568",$265,0.8,David Flitman
118,WBD,Warner Bros. Discovery,Entertainment,New York,New York,10003,www.wbd.com,"37,500","$33,817","$36,778","-$7,371",-21.8,David M. Zaslav
119,LEN,Lennar,Homebuilders,Miami,Florida,33126,www.lennar.com,"12,012","$33,671","$29,726","$4,614",13.7,Jonathan M. Jaffe
120,DHI,D.R. Horton,Homebuilders,Arlington,Texas,76011,www.drhorton.com,"13,237","$33,480","$33,546","$5,858",17.5,David V. Auld
121,JBL,Jabil,Semiconductors and Other Electronic Components,St. Petersburg,Florida,33716,www.jabil.com,"250,000","$33,478","$11,750",$996,3,Mark T. Mondello
122,LNG,Cheniere Energy,Pipelines,Houston,Texas,77002,www.cheniere.com,"1,551","$33,428","$38,408","$1,428",4.3,Jack A. Fusco
123,AVGO,Broadcom,Semiconductors and Other Electronic Components,San Jose,California,95131,www.broadcom.com,"20,000","$33,203","$267,473","$11,495",34.6,Hock E. Tan
124,KMX,CarMax,"Automotive Retailing, Services",Richmond,Virginia,23238,www.carmax.com,"32,647","$33,197","$10,158","$1,151",3.5,William D. Nash
125,SBUX,Starbucks,Food Services,Seattle,Washington,98134,www.starbucks.com,"402,000","$32,250","$119,677","$3,282",10.2,Laxman Narasimhan
126,MOH,Molina Healthcare,Health Care: Insurance and Managed Care,Long Beach,California,90802,www.molinahealthcare.com,"15,000","$31,974","$15,586",$792,2.5,Joseph M. Zubretsky
127,UBER,Uber Technologies,Internet Services and Retailing,San Francisco,California,94158,www.uber.com,"32,800","$31,877","$63,840","-$9,141",-28.7,Dara Khosrowshahi
128,PM,Philip Morris International,Tobacco,Stamford,Connecticut,6901,www.pmi.com,"79,800","$31,762","$150,946","$9,048",28.5,Jacek Olczak
129,NFLX,Netflix,Entertainment,Los Gatos,California,95032,www.netflix.com,"12,800","$31,616","$153,858","$4,492",14.2,Ted Sarandos
130,NRG,NRG Energy,Energy,Houston,Texas,77002,www.nrg.com,"6,603","$31,543","$7,965","$1,221",3.9,Mauricio Gutierrez
131,MDLZ,Mondelez International,Food Consumer Products,Chicago,Illinois,60607,www.mondelezinternational.com,"91,000","$31,496","$95,050","$2,717",8.6,Dirk Van De Put
132,DHR,Danaher,Medical Products and Equipment,Washington,District of Columbia,20037,www.danaher.com,"80,000","$31,471","$183,764","$7,209",22.9,Rainer M. Blair
133,CRM,Salesforce,Computer Software,San Francisco,California,94105,www.salesforce.com,"79,390","$31,352","$199,780",$208,0.7,Marc R. Benioff
134,PARA,Paramount Global,Entertainment,New York,New York,10036,www.paramount.com,"27,400","$31,331","$14,657","$1,104",3.5,Robert M. Bakish
135,CBRE,CBRE Group,Real Estate,Dallas,Texas,75201,www.cbre.com,"115,000","$30,828","$22,563","$1,407",4.6,
136,MU,Micron Technology,Semiconductors and Other Electronic Components,Boise,Idaho,83716,www.micron.com,"48,000","$30,758","$66,036","$8,687",28.2,Sanjay Mehrotra
137,V,Visa,Financial Data Services,San Francisco,California,94105,www.visa.com,"26,500","$29,310","$475,307","$14,957",51,Ryan Mcinerney
138,SO,Southern,Utilities: Gas and Electric,Atlanta,Georgia,30308,www.southerncompany.com,"27,562","$29,279","$75,948","$3,524",12,Christopher C. Womack
139,UNFI,United Natural Foods,Wholesalers: Food and Grocery,Providence,Rhose Island,2908,www.unfi.com,"30,300","$28,928","$1,565",$248,0.9,Sandy Douglas
140,PCAR,Paccar,Motor Vehicles & Parts,Bellevue,Washington,98004,www.paccar.com,"31,100","$28,820","$38,251","$3,012",10.4,Preston Feight
141,DUK,Duke Energy,Utilities: Gas and Electric,Charlotte,North Carolina,28202,www.duke-energy.com,"27,859","$28,784","$74,344","$2,550",8.9,Lynn J. Good
142,LLY,Eli Lilly,Pharmaceuticals,Indianapolis,Indiana,46285,www.lilly.com,"39,000","$28,541","$326,351","$6,245",21.9,David A. Ricks
143,HPE,Hewlett Packard Enterprise,"Computers, Office Equipment",Spring,Texas,77389,www.hpe.com,"60,200","$28,496","$20,643",$868,3,Antonio F. Neri
144,DLTR,Dollar Tree,Specialty Retailers: Other,Chesapeake,Virginia,23320,www.dollartree.com,"136,287","$28,332","$31,757","$1,615",5.7,Rick Dreiling
145,LAD,Lithia Motors,"Automotive Retailing, Services",Medford,Oregon,97501,www.lithiadriveway.com,"21,875","$28,188","$6,337","$1,251",4.4,Bryan B. Deboer
146,CMI,Cummins,Industrial Machinery,Columbus,Indiana,47201,www.cummins.com,"73,600","$28,074","$33,811","$2,151",7.7,Jennifer Rumsey
147,PAG,Penske Automotive Group,"Automotive Retailing, Services",Bloomfield Hills,Michigan,48302,www.penskeautomotive.com,"26,816","$27,815","$9,795","$1,380",5,Roger S. Penske
148,PYPL,PayPal Holdings,Financial Data Services,San Jose,California,95131,www.paypal.com,"29,900","$27,518","$85,917","$2,419",8.8,Daniel H. Schulman
149,USB,U.S. Bancorp,Commercial Banks,Minneapolis,Minnesota,55402,www.usbank.com,"76,646","$27,401","$55,221","$5,825",21.3,Andrew J. Cecere
150,GILD,Gilead Sciences,Pharmaceuticals,Foster City,California,94404,www.gilead.com,"17,000","$27,281","$103,614","$4,592",16.8,Daniel P. O'Day
151,AN,AutoNation,"Automotive Retailing, Services",Fort Lauderdale,Florida,33301,www.autonation.com,"23,600","$26,985","$6,301","$1,377",5.1,Michael Manley
152,NVDA,Nvidia,Semiconductors and Other Electronic Components,Santa Clara,California,95051,www.nvidia.com,"26,196","$26,974","$686,092","$4,368",16.2,Jen-Hsun Huang
153,KHC,Kraft Heinz,Food Consumer Products,Chicago,Illinois,60601,www.kraftheinzcompany.com,"37,000","$26,485","$47,448","$2,363",8.9,Miguel Patricio
154,AMGN,Amgen,Pharmaceuticals,Thousand Oaks,California,91320,www.amgen.com,"25,200","$26,323","$129,089","$6,552",24.9,Robert A. Bradway
155,AMAT,Applied Materials,Semiconductors and Other Electronic Components,Santa Clara,California,95054,www.appliedmaterials.com,"33,000","$25,785","$103,806","$6,525",25.3,Gary E. Dickerson
156,EOG,EOG Resources,"Mining, Crude-Oil Production",Houston,Texas,77002,www.eogresources.com,"2,850","$25,702","$67,371","$7,759",30.2,Ezra Yacob
157,TFC,Truist Financial,Commercial Banks,Charlotte,North Carolina,28202,www.truist.com,"53,987","$25,356","$45,290","$6,260",24.7,William H. Rogers Jr.
158,M,Macy's,General Merchandisers,New York,New York,10001,www.macysinc.com,"94,570","$25,305","$4,747","$1,177",4.7,Jeffrey Gennette
159,UNP,Union Pacific,Railroads,Omaha,Nebraska,68179,www.up.com,"33,179","$24,875","$123,146","$6,998",28.1,Lance M. Fritz
160,CHRW,C.H. Robinson Worldwide,Transportation and Logistics,Eden Prairie,Minnesota,55347,www.chrobinson.com,"17,399","$24,697","$11,417",$941,3.8,Scott Anderson
161,RAD,Rite Aid,Food and Drug Stores,Philadelphia,Pennsylvania,19112,www.riteaid.com,"53,000","$24,568",$127,-$539,-2.2,
162,CEG,Constellation Energy,Energy,Baltimore,Maryland,21231,www.constellationenergy.com,"13,370","$24,440","$25,712",-$160,-0.7,Joseph Dominguez
163,AVT,Avnet,Wholesalers: Electronics and Office Equipment,Phoenix,Arizona,85034,www.avnet.com,"15,300","$24,311","$4,130",$692,2.8,Philip R. Gallagher
164,PXD,Pioneer Natural Resources,"Mining, Crude-Oil Production",Irving,Texas,75038,www.pxd.com,"2,076","$24,294","$47,997","$7,845",32.3,Scott D. Sheffield
165,LUV,Southwest Airlines,Airlines,Dallas,Texas,75235,www.southwest.com,"66,656","$23,814","$19,338",$539,2.3,Robert E. Jordan
166,CDW,CDW,Information Technology Services,Lincolnshire,Illinois,60069,www.cdw.com,"15,100","$23,749","$26,337","$1,115",4.7,Christine A. Leahy
167,AMD,Advanced Micro Devices,Semiconductors and Other Electronic Components,Santa Clara,California,95054,www.amd.com,"25,000","$23,601","$157,738","$1,320",5.6,Lisa T. Su
