Rank,Ticker,Company,Industry,City,State,Zip,Website,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales),CEO
168,PNC,PNC Financial Services Group,Commercial Banks,Pittsburgh,Pennsylvania,15222,www.pnc.com,"60,720","$23,542","$50,800","$6,041",25.7,William S. Demchak
169,MCD,McDonald's,Food Services,Chicago,Illinois,60607,www.investor.mcdonalds.com,"150,000","$23,183","$204,534","$6,177",26.6,Christopher J. Kempczinski
170,CLF,Cleveland-Cliffs,Metals,Cleveland,Ohio,44114,www.clevelandcliffs.com,"27,000","$22,989","$9,436","$1,335",5.8,Lourenco Goncalves
171,FCX,Freeport-McMoRan,"Mining, Crude-Oil Production",Phoenix,Arizona,85004,www.fcx.com,"25,600","$22,780","$58,530","$3,468",15.2,Richard C. Adkerson
172,BLDR,Builders FirstSource,"Building Materials, Glass",Dallas,Texas,75201,www.bldr.com,"29,000","$22,726","$12,253","$2,749",12.1,Dave Rush
173,OKE,Oneok,Pipelines,Tulsa,Oklahoma,74103,www.oneok.com,"2,966","$22,387","$28,416","$1,722",7.7,Pierce Norton
174,HIG,Hartford Financial Services Group,Insurance: Property and Casualty (Stock),Hartford,Connecticut,6155,www.thehartford.com,"18,800","$22,362","$21,817","$1,815",8.1,Christopher J. Swift
175,SCHW,Charles Schwab,Securities,Westlake,Texas,76262,www.aboutschwab.com,"35,300","$22,307","$95,264","$7,183",32.2,Walter W. Bettinger
176,STLD,Steel Dynamics,Metals,Fort Wayne,Indiana,46804,www.steeldynamics.com,"12,060","$22,261","$19,286","$3,863",17.4,Mark D. Millett
177,MA,Mastercard,Financial Data Services,Purchase,New York,10577,www.mastercard.com,"29,900","$22,237","$346,418","$9,930",44.7,Michael Miebach
178,SHW,Sherwin-Williams,Chemicals,Cleveland,Ohio,44115,www.sherwin.com,"64,366","$22,149","$58,090","$2,020",9.1,
179,GPC,Genuine Parts,Wholesalers: Diversified,Atlanta,Georgia,30339,www.genpt.com,"58,000","$22,096","$23,559","$1,183",5.4,Paul Donahue
180,PCG,PG&E,Utilities: Gas and Electric,Oakland,California,94612,www.pgecorp.com,"26,010","$21,680","$32,154","$1,800",8.3,
181,WCC,WESCO International,Wholesalers: Diversified,Pittsburgh,Pennsylvania,15219,www.wesco.com,"20,000","$21,420","$7,897",$861,4,John J. Engel
182,MUSA,Murphy USA,Specialty Retailers: Other,El Dorado,Arkansas,71730,www.murphyusa.com,"10,550","$21,266","$5,621",$673,3.2,Andrew Clyde
183,WRK,WestRock,"Packaging, Containers",Atlanta,Georgia,30328,www.westrock.com,"50,500","$21,257","$7,759",$945,4.4,David Sewell
184,IP,International Paper,"Packaging, Containers",Memphis,Tennessee,38197,www.internationalpaper.com,"39,000","$21,161","$12,598","$1,504",7.1,Mark S. Sutton
185,BKR,Baker Hughes,"Oil and Gas Equipment, Services",Houston,Texas,77073,www.bakerhughes.com,"55,000","$21,156","$29,386",-$601,-2.8,Lorenzo Simonelli
186,X,United States Steel,Metals,Pittsburgh,Pennsylvania,15219,www.ussteel.com,"22,740","$21,065","$5,930","$2,524",12,David B. Burritt
187,NEE,NextEra Energy,Utilities: Gas and Electric,Juno Beach,Florida,33408,www.nexteraenergy.com,"15,300","$20,956","$153,196","$4,147",19.8,John W. Ketchum
188,TRGP,Targa Resources,Pipelines,Houston,Texas,77002,www.targaresources.com,"2,850","$20,930","$16,507","$1,196",5.7,Matthew J. Meloy
189,LEA,Lear,Motor Vehicles & Parts,Southfield,Michigan,48033,www.lear.com,"168,700","$20,892","$8,248",$328,1.6,Raymond E. Scott
190,JLL,Jones Lang LaSalle,Real Estate,Chicago,Illinois,60601,www.jll.com,"103,300","$20,862","$6,926",$655,3.1,Christian Ulbrich
191,GT,Goodyear Tire & Rubber,Motor Vehicles & Parts,Akron,Ohio,44316,www.goodyear.com,"74,000","$20,805","$3,122",$202,1,Richard J. Kramer
192,MAR,Marriott International,"Hotels, Casinos, Resorts",Bethesda,Maryland,20814,www.marriott.com,"140,000","$20,773","$51,287","$2,358",11.4,Anthony G. Capuano
193,MMC,Marsh & McLennan,Diversified Financials,New York,New York,10036,www.marshmclennan.com,"85,000","$20,720","$82,371","$3,050",14.7,John Q. Doyle
194,MO,Altria Group,Tobacco,Richmond,Virginia,23230,www.altria.com,"6,300","$20,688","$79,672","$5,764",27.9,Billy Gifford
195,CPNG,Coupang,Internet Services and Retailing,Seattle,Washington,98101,www.aboutcoupang.com,"63,000","$20,583","$28,388",-$92,-0.4,Bom Kim
196,CARR,Carrier Global,Industrial Machinery,Palm Beach Gardens,Florida,33418,www.corporate.carrier.com,"52,000","$20,421","$38,199","$3,534",17.3,David Gitlin
197,HAL,Halliburton,"Oil and Gas Equipment, Services",Houston,Texas,77032,www.halliburton.com,"45,000","$20,297","$28,605","$1,572",7.7,Jeffrey A. Miller
198,DK,Delek US Holdings,Petroleum Refining,Brentwood,Tennessee,37027,www.delekus.com,"3,746","$20,246","$1,538",$257,1.3,Avigal Soreq
199,KMB,Kimberly-Clark,Household and Personal Products,Irving,Texas,75038,www.kimberly-clark.com,"44,000","$20,175","$45,293","$1,934",9.6,Mike Hsu
200,TXN,Texas Instruments,Semiconductors and Other Electronic Components,Dallas,Texas,75243,www.ti.com,"33,000","$20,028","$168,775","$8,749",43.7,Haviv Ilan
201,BK,Bank of New York Mellon,Commercial Banks,New York,New York,10286,www.bnymellon.com,"51,700","$19,991","$36,736","$2,573",12.9,Robin Vince
202,MAN,ManpowerGroup,Temporary Help,Milwaukee,Wisconsin,53212,www.manpowergroup.com,"30,900","$19,828","$4,191",$374,1.9,Jonas Prising
203,WHR,Whirlpool,"Electronics, Electrical Equip.",Benton Harbor,Michigan,49022,www.whirlpoolcorp.com,"61,000","$19,724","$7,197","-$1,519",-7.7,Marc R. Bitzer
204,WM,Waste Management,Waste Management,Houston,Texas,77002,www.wm.com,"49,500","$19,698","$66,372","$2,238",11.4,James C. Fish Jr.
205,AEP,American Electric Power,Utilities: Gas and Electric,Columbus,Ohio,43215,www.aep.com,"16,974","$19,640","$46,806","$2,307",11.7,Julie Sloat
206,EMR,Emerson Electric,Industrial Machinery,St. Louis,Montana,63136,www.emerson.com,"85,500","$19,629","$49,792","$3,231",16.5,Lal L. Karsanbhai
207,AFL,Aflac,"Insurance: Life, Health (Stock)",Columbus,Georgia,31999,www.aflac.com,"12,882","$19,502","$39,467","$4,201",21.5,Daniel P. Amos
208,CTSH,Cognizant Technology Solutions,Information Technology Services,Teaneck,New Jersey,7666,www.cognizant.com,"355,300","$19,428","$31,031","$2,290",11.8,Ravi Kumar S
209,BDX,Becton Dickinson,Medical Products and Equipment,Franklin Lakes,New Jersey,7417,www.bd.com,"77,000","$19,408","$70,277","$1,779",9.2,Tom Polen
210,BJ,BJ's Wholesale Club,General Merchandisers,Marlborough,Massachusetts,1752,www.bjs.com,"34,000","$19,315","$10,186",$513,2.7,Robert W. Eddy
211,MRNA,Moderna,Pharmaceuticals,Cambridge,Massachusetts,2139,www.modernatx.com,"3,900","$19,263","$59,232","$8,362",43.4,Stephane Bancel
212,DTE,DTE Energy,Utilities: Gas and Electric,Detroit,Michigan,48226,www.dteenergy.com,"10,250","$19,228","$22,577","$1,083",5.6,Gerardo Norcia
214,KMI,Kinder Morgan,Pipelines,Houston,Texas,77002,www.kindermorgan.com,"10,525","$19,200","$39,363","$2,548",13.3,Steven J. Kean
215,THC,Tenet Healthcare,Health Care: Medical Facilities,Dallas,Texas,75254,www.tenethealth.com,"89,088","$19,174","$6,077",$411,2.1,Saum Sutaria
216,DVN,Devon Energy,"Mining, Crude-Oil Production",Oklahoma City,Oklahoma,73102,www.devonenergy.com,"1,800","$19,169","$33,099","$6,015",31.4,Richard E. Muncrief
217,MOS,Mosaic,Chemicals,Tampa,Florida,33602,www.mosaicco.com,"13,570","$19,125","$15,438","$3,583",18.7,James C. O'Rourke
218,EXC,Exelon,Utilities: Gas and Electric,Chicago,Illinois,60603,www.exeloncorp.com,"19,063","$19,078","$41,651","$2,170",11.4,Calvin G. Butler
219,GIS,General Mills,Food Consumer Products,Minneapolis,Minnesota,55426,www.generalmills.com,"32,500","$18,993","$50,195","$2,707",14.3,Jeffrey L. Harmening
220,GLP,Global Partners,Wholesalers: Diversified,Waltham,Massachusetts,2453,www.globalp.com,"3,585","$18,878","$1,055",$362,1.9,Eric Slifka
221,WDC,Western Digital,"Computers, Office Equipment",San Jose,California,95119,www.westerndigital.com,"65,000","$18,793","$12,029","$1,500",8,David V. Goeckeler
222,LNC,Lincoln National,"Insurance: Life, Health (Stock)",Radnor,Pennsylvania,19087,www.lfg.com,"11,316","$18,766","$3,802","-$2,241",-11.9,Ellen G. Cooper
223,ROST,Ross Stores,Specialty Retailers: Apparel,Dublin,California,94568,www.rossstores.com,"101,000","$18,696","$36,302","$1,512",8.1,Barbara Rentler
224,SYK,Stryker,Medical Products and Equipment,Kalamazoo,Michigan,49002,www.stryker.com,"51,000","$18,449","$108,228","$2,358",12.8,Kevin A. Lobo
225,KD,Kyndryl Holdings,Information Technology Services,New York,New York,10017,www.kyndryl.com,"90,000","$18,317","$3,358","-$2,054",-11.2,Martin J. Schroeter
226,KSS,Kohl's,General Merchandisers,Menomonee Falls,Wisconsin,53051,www.kohls.com,"66,500","$18,098","$2,607",-$19,-0.1,Tom Kingsbury
227,SWK,Stanley Black & Decker,"Home Equipment, Furnishings",New Britain,Connecticut,6053,www.stanleyblackanddecker.com,"54,200","$18,004","$12,333","$1,063",5.9,Donald Allan
228,CL,Colgate-Palmolive,Household and Personal Products,New York,New York,10022,www.colgatepalmolive.com,"33,800","$17,967","$62,535","$1,785",9.9,Noel R. Wallace
229,BLK,BlackRock,Securities,New York,New York,10001,www.blackrock.com,"19,800","$17,873","$100,526","$5,178",29,
230,EL,Estée Lauder,Household and Personal Products,New York,New York,10153,www.elcompanies.com,"53,865","$17,737","$88,041","$2,390",13.5,Fabrizio Freda
230,FISV,Fiserv,Financial Data Services,Brookfield,Wisconsin,53045,www.fiserv.com,"41,000","$17,737","$70,997","$2,530",14.3,Frank J. Bisignano
232,PPG,PPG Industries,Chemicals,Pittsburgh,Pennsylvania,15272,www.ppg.com,"52,000","$17,652","$31,439","$1,026",5.8,Timothy M. Knavish
233,ADBE,Adobe,Computer Software,San Jose,California,95110,www.adobe.com,"29,239","$17,606","$176,769","$4,756",27,Shantanu Narayen
234,SQ,Block,Financial Data Services,San Francisco,California,94103,www.block.xyz,"12,428","$17,532","$41,329",-$541,-3.1,Jack Dorsey
235,SYF,Synchrony Financial,Diversified Financials,Stamford,Connecticut,6902,www.synchrony.com,"18,500","$17,526","$12,709","$3,016",17.2,Brian D. Doubles
236,PFG,Principal Financial,"Insurance: Life, Health (Stock)",Des Moines,Iowa,50392,www.principal.com,"19,300","$17,492","$18,068","$4,812",27.5,
237,LUMN,Lumen Technologies,Telecommunications,Monroe,Louisiana,71203,www.lumen.com,"29,000","$17,478","$2,654","-$1,548",-8.9,Kathleen E. Johnson
238,CTVA,Corteva,Food Production,Indianapolis,Indiana,46268,www.corteva.com,"21,000","$17,455","$42,977","$1,147",6.6,Chuck Magro
239,ANDE,Andersons,Food Production,Maumee,Ohio,43537,www.andersonsinc.com,"2,244","$17,351","$1,396",$131,0.8,Patrick E. Bowe
240,LRCX,Lam Research,Semiconductors and Other Electronic Components,Fremont,California,94538,www.lamresearch.com,"17,700","$17,227","$71,532","$4,605",26.7,Timothy M. Archer
241,EIX,Edison International,Utilities: Gas and Electric,Rosemead,California,91770,www.edisoninvestor.com,"13,110","$17,220","$27,010",$612,3.6,Pedro J. Pizarro
242,D,Dominion Energy,Utilities: Gas and Electric,Richmond,Virginia,23219,www.dominionenergy.com,"17,200","$17,174","$46,699",$994,5.8,Robert M. Blue
243,BKNG,Booking Holdings,Internet Services and Retailing,Norwalk,Connecticut,6854,www.bookingholdings.com,"21,492","$17,090","$99,859","$3,058",17.9,Glenn D. Fogel
244,PWR,Quanta Services,Engineering & Construction,Houston,Texas,77008,www.quantaservices.com,"47,300","$17,074","$23,996",$491,2.9,"Earl C. ""Duke"" Austin"
245,EXPD,Expeditors International of Washington,Transportation and Logistics,Seattle,Washington,98104,www.expeditors.com,"20,302","$17,071","$17,009","$1,357",8,Jeff Musser
246,LHX,L3Harris Technologies,Aerospace & Defense,Melbourne,Florida,32919,www.l3harris.com,"46,000","$17,062","$37,277","$1,062",6.2,
247,RS,Reliance Steel & Aluminum,Metals,Scottsdale,Arizona,85254,www.rsac.com,"14,750","$17,025","$15,142","$1,840",10.8,Karla R. Lewis
248,LYV,Live Nation Entertainment,Entertainment,Beverly Hills,California,90210,www.livenationentertainment.com,"20,550","$16,681","$16,211",$296,1.8,Michael Rapino
249,DISH,DISH Network,Telecommunications,Englewood,Colorado,80112,www.dish.com,"14,200","$16,679","$4,956","$2,303",13.8,Erik Carlson
250,DD,DuPont,Chemicals,Wilmington,Delaware,19805,www.dupont.com,"23,000","$16,549","$32,895","$5,868",35.5,Edward D. Breen
251,ADP,Automatic Data Processing,Diversified Outsourcing Services,Roseland,New Jersey,7068,www.adp.com,"60,000","$16,498","$92,247","$2,949",17.9,Maria Black
252,GPI,Group 1 Automotive,"Automotive Retailing, Services",Houston,Texas,77024,www.group1auto.com,"15,491","$16,412","$3,194",$752,4.6,Daryl Kenningham
253,ARMK,Aramark,Diversified Outsourcing Services,Philadelphia,Pennsylvania,19103,www.aramark.com,"273,875","$16,327","$9,326",$195,1.2,John J. Zillmer
254,THO,Thor Industries,Motor Vehicles & Parts,Elkhart,Indiana,46514,www.thorindustries.com,"32,000","$16,313","$4,262","$1,138",7,
255,DXC,DXC Technology,Information Technology Services,Ashburn,Virginia,20147,www.dxc.technology,"130,000","$16,265","$5,820",$718,4.4,
256,VTRS,Viatris,Pharmaceuticals,Canonsburg,Pennsylvania,15317,www.viatris.com,"37,000","$16,263","$11,513","$2,079",12.8,Scott A. Smith
257,RGA,Reinsurance Group of America,"Insurance: Life, Health (Stock)",Chesterfield,Montana,63017,www.rgare.com,"3,800","$16,258","$8,876",$623,3.8,
258,AZO,AutoZone,Specialty Retailers: Other,Memphis,Tennessee,38103,www.autozone.com,"90,720","$16,252","$45,224","$2,430",14.9,William C. Rhodes Iii
259,PHM,PulteGroup,Homebuilders,Atlanta,Georgia,30326,www.pultegroupinc.com,"6,524","$16,229","$13,073","$2,617",16.1,Ryan R. Marshall
260,ITW,Illinois Tool Works,Industrial Machinery,Glenview,Illinois,60025,www.itw.com,"46,000","$15,932","$74,209","$3,034",19,Scott Santi
261,PH,Parker-Hannifin,Industrial Machinery,Cleveland,Ohio,44124,www.parker.com,"55,090","$15,862","$43,112","$1,316",8.3,Jennifer A. Parmentier
262,BWA,BorgWarner,Motor Vehicles & Parts,Auburn Hills,Michigan,48326,www.borgwarner.com,"52,700","$15,801","$11,481",$944,6,Frederic B. Lissalde
263,WLK,Westlake,Chemicals,Houston,Texas,77056,www.westlake.com,"15,920","$15,794","$14,812","$2,247",14.2,Albert Yuan Chao
264,ED,Consolidated Edison,Utilities: Gas and Electric,New York,New York,10003,www.conedison.com,"14,319","$15,670","$33,967","$1,660",10.6,Timothy P. Cawley
265,GPS,Gap,Specialty Retailers: Apparel,San Francisco,California,94105,www.gapinc.com,"95,000","$15,616","$3,693",-$202,-1.3,Bobby Martin
266,OPEN,Opendoor Technologies,Internet Services and Retailing,Tempe,Arizona,85281,www.opendoor.com,"2,570","$15,567","$1,131","-$1,353",-8.7,Carrie Wheeler
267,JWN,Nordstrom,General Merchandisers,Seattle,Washington,98101,www.nordstrom.com,"60,000","$15,530","$2,606",$245,1.6,Erik B. Nordstrom
268,ABG,Asbury Automotive Group,"Automotive Retailing, Services",Duluth,Georgia,30097,www.asburyauto.com,"13,000","$15,434","$4,557",$997,6.5,David W. Hult
269,BALL,Ball,"Packaging, Containers",Westminster,Colorado,80021,www.ball.com,"21,000","$15,349","$17,326",$719,4.7,Dan Fisher
270,K,Kellogg,Food Consumer Products,Battle Creek,Michigan,49017,www.kelloggcompany.com,"30,000","$15,315","$22,945",$960,6.3,Steven A. Cahillane
271,XEL,Xcel Energy,Utilities: Gas and Electric,Minneapolis,Minnesota,55401,www.xcelenergy.com,"11,982","$15,310","$37,082","$1,736",11.3,Bob Frenzel
272,GWW,W.W. Grainger,Wholesalers: Diversified,Lake Forest,Illinois,60045,www.grainger.com,"24,500","$15,228","$34,622","$1,547",10.2,Donald G. Macpherson
273,DFS,Discover Financial Services,Commercial Banks,Riverwoods,Illinois,60015,www.discover.com,"20,200","$15,202","$25,635","$4,392",28.9,Roger C. Hochschild
274,BAX,Baxter International,Medical Products and Equipment,Deerfield,Illinois,60015,www.baxter.com,"60,000","$15,113","$20,504","-$2,433",-16.1,Jose E Almeida
275,SWN,Southwestern Energy,"Mining, Crude-Oil Production",Spring,Texas,77389,www.swn.com,"1,118","$15,002","$5,506","$1,849",12.3,Bill Way
276,DCP,DCP Midstream,Pipelines,Denver,Colorado,80237,www.dcpmidstream.com,"1,910","$14,993","$8,701","$1,052",7,
277,J,Jacobs Solutions,Engineering & Construction,Dallas,Texas,75201,www.jacobs.com,"58,350","$14,923","$14,890",$644,4.3,Bob Pragada
278,LH,Laboratory Corp. of America,Health Care: Pharmacy and Other Services,Burlington,North Carolina,27215,www.labcorp.com,"75,200","$14,877","$20,304","$1,279",8.6,Adam H. Schechter
279,CSX,CSX,Railroads,Jacksonville,Florida,32202,www.csx.com,"22,542","$14,853","$61,330","$4,166",28,Joseph R. Hinrichs
280,JBHT,J.B. Hunt Transport Services,"Trucking, Truck Leasing",Lowell,Arkansas,72745,www.jbhunt.com,"37,151","$14,814","$18,208",$969,6.5,John N. Roberts Iii
282,JXN,Jackson Financial,"Insurance: Life, Health (Stock)",Lansing,Michigan,48951,www.jackson.com,"3,435","$14,551","$3,078","$5,697",39.2,Laura L. Prieskorn
283,FIS,Fidelity National Information Services,Financial Data Services,Jacksonville,Florida,32202,www.fisglobal.com,"69,000","$14,528","$32,160","-$16,720",-115.1,Stephanie Ferris
284,BERY,Berry Global Group,"Packaging, Containers",Evansville,Indiana,47710,www.berryglobal.com,"46,000","$14,495","$7,151",$766,5.3,Thomas E. Salmon
285,SRE,Sempra,Utilities: Gas and Electric,San Diego,California,92101,www.sempra.com,"15,785","$14,439","$47,563","$2,138",14.8,
286,IQV,IQVIA Holdings,Health Care: Pharmacy and Other Services,Durham,North Carolina,27703,www.iqvia.com,"86,000","$14,410","$37,022","$1,091",7.6,Ari Bousbib
287,ORLY,O'Reilly Automotive,Specialty Retailers: Other,Springfield,Montana,65802,www.oreillyauto.com,"79,679","$14,410","$52,269","$2,173",15.1,Gregory D. Johnson
288,LDOS,Leidos Holdings,Information Technology Services,Reston,Virginia,20190,www.leidos.com,"45,000","$14,396","$12,630",$685,4.8,Thomas A. Bell
289,AMP,Ameriprise Financial,Diversified Financials,Minneapolis,Minnesota,55474,www.ameriprise.com,"13,500","$14,347","$32,228","$2,559",17.8,James M. Cracchiolo
290,OMC,Omnicom Group,"Advertising, Marketing",New York,New York,10017,www.omnicomgroup.com,"74,200","$14,289","$19,001","$1,317",9.2,John D. Wren
291,TSCO,Tractor Supply,Specialty Retailers: Other,Brentwood,Tennessee,37027,www.tractorsupply.com,"36,500","$14,205","$25,830","$1,089",7.7,Harry A. Lawton Iii
292,GLW,Corning,"Electronics, Electrical Equip.",Corning,New York,14831,www.corning.com,"57,500","$14,189","$29,890","$1,316",9.3,Wendell P. Weeks
293,ECL,Ecolab,Chemicals,St. Paul,Minnesota,55102,www.ecolab.com,"47,000","$14,188","$47,121","$1,092",7.7,Christophe Beck
294,IEP,Icahn Enterprises,Diversified Financials,Sunny Isles Beach,Florida,33160,www.ielp.com,"20,041","$14,101","$18,283",-$183,-1.3,David Willetts
296,KDP,Keurig Dr Pepper,Beverages,Burlington,Massachusetts,1803,www.keurigdrpepper.com,"28,000","$14,057","$49,620","$1,436",10.2,Robert J. Gamgort
297,L,Loews,Insurance: Property and Casualty (Stock),New York,New York,10065,www.loews.com,"12,050","$14,044","$13,395","$1,012",7.2,James S. Tisch
298,EQH,Equitable Holdings,"Insurance: Life, Health (Stock)",New York,New York,10104,www.equitableholdings.com,"10,250","$14,017","$9,186","$1,785",12.7,Mark Pearson
299,SAH,Sonic Automotive,"Automotive Retailing, Services",Charlotte,North Carolina,28211,www.sonicautomotive.com,"10,300","$14,001","$1,930",$89,0.6,David Bruton Smith
300,FOXA,Fox,Entertainment,New York,New York,10036,www.foxcorporation.com,"10,600","$13,974","$17,551","$1,205",8.6,Lachlan K. Murdoch
302,ETR,Entergy,Utilities: Gas and Electric,New Orleans,Louisiana,70113,www.entergy.com,"11,707","$13,764","$22,851","$1,103",8,Andrew S. Marsh
303,FLR,Fluor,Engineering & Construction,Irving,Texas,75039,www.fluor.com,"39,576","$13,744","$4,392",$145,1.1,David E. Constable
304,VST,Vistra,Energy,Irving,Texas,75039,www.vistracorp.com,"4,910","$13,728","$9,155","-$1,227",-8.9,
305,STT,State Street,Commercial Banks,Boston,Massachusetts,2111,www.statestreet.com,"42,226","$13,692","$26,074","$2,774",20.3,Ronald P. O'Hanley
306,OTIS,Otis Worldwide,Industrial Machinery,Farmington,Connecticut,6032,www.otis.com,"69,000","$13,685","$35,015","$1,253",9.2,Judith F. Marks
308,CVNA,Carvana,"Automotive Retailing, Services",Tempe,Arizona,85281,www.carvana.com,"16,600","$13,604","$1,761","-$1,587",-11.7,Ernest C. Garcia Iii
309,RSG,Republic Services,Waste Management,Phoenix,Arizona,85054,www.republicservices.com,"40,000","$13,511","$42,763","$1,488",11,Jon Vander Ark
310,ACM,AECOM,Engineering & Construction,Dallas,Texas,75240,www.aecom.com,"50,000","$13,496","$11,716",$311,2.3,Troy Rudd
311,UHS,Universal Health Services,Health Care: Medical Facilities,King of Prussia,Pennsylvania,19406,www.uhs.com,"82,500","$13,399","$8,982",$676,5,Marc D. Miller
313,VMW,VMware,Computer Software,Palo Alto,California,94304,www.vmware.com,"38,300","$13,350","$53,496","$1,314",9.8,Raghu Raghuram
315,MGM,MGM Resorts International,"Hotels, Casinos, Resorts",Las Vegas,Nevada,89109,www.mgmresorts.com,"66,000","$13,128","$16,564","$1,473",11.2,William J. Hornbuckle
316,CASY,Casey's General Stores,Specialty Retailers: Other,Ankeny,Iowa,50021,www.caseys.com,"31,466","$12,953","$8,066",$340,2.6,Darren Rebelez
317,CCK,Crown Holdings,"Packaging, Containers",Tampa,Florida,33637,www.crowncork.com,"26,000","$12,943","$9,934",$727,5.6,Timothy J. Donahue
318,TXT,Textron,Aerospace & Defense,Providence,Rhose Island,2903,www.textron.com,"34,000","$12,869","$14,385",$861,6.7,Scott C. Donnelly
319,LKQ,LKQ,Wholesalers: Diversified,Chicago,Illinois,60661,www.lkqcorp.com,"45,000","$12,794","$15,171","$1,149",9,Dominick P. Zarcone
320,NSC,Norfolk Southern,Railroads,Atlanta,Georgia,30308,www.norfolksouthern.com,"19,300","$12,745","$48,257","$3,270",25.7,Alan H. Shaw
321,INTU,Intuit,Computer Software,Mountain View,California,94043,www.intuit.com,"21,850","$12,726","$125,076","$2,066",16.2,Sasan K. Goodarzi
322,APD,Air Products & Chemicals,Chemicals,Allentown,Pennsylvania,18106,www.airproducts.com,"20,805","$12,699","$63,784","$2,256",17.8,Seifi Ghasemi
323,BSX,Boston Scientific,Medical Products and Equipment,Marlborough,Massachusetts,1752,www.bostonscientific.com,"45,000","$12,682","$71,910",$698,5.5,Michael F. Mahoney
324,AGCO,AGCO,Construction and Farm Machinery,Duluth,Georgia,30096,www.agcocorp.com,"25,600","$12,651","$10,119",$890,7,Eric P. Hansotia
325,HSIC,Henry Schein,Wholesalers: Health Care,Melville,New York,11747,www.henryschein.com,"22,000","$12,647","$10,705",$538,4.3,Stanley M. Bergman
326,APH,Amphenol,Network and Other Communications Equipment,Wallingford,Connecticut,6492,www.amphenol.com,"91,000","$12,623","$48,591","$1,902",15.1,Adam Norwitt
327,AES,AES,Utilities: Gas and Electric,Arlington,Virginia,22203,www.aes.com,"9,100","$12,617","$16,110",-$546,-4.3,Andres R. Gluski
329,OVV,Ovintiv,"Mining, Crude-Oil Production",Denver,Colorado,80202,www.ovintiv.com,"1,744","$12,464","$8,772","$3,637",29.2,Brendan M. Mccracken
330,HRL,Hormel Foods,Food Consumer Products,Austin,Minnesota,55912,www.hormelfoods.com,"20,000","$12,459","$21,796","$1,000",8,Jim(James) Snee
331,AA,Alcoa,Metals,Pittsburgh,Pennsylvania,15212,www.alcoa.com,"13,100","$12,451","$7,591",-$123,-1,Roy C. Harvey
332,IFF,International Flavors & Fragrances,Chemicals,New York,New York,10019,www.iff.com,"24,600","$12,440","$23,456","-$1,871",-15,Frank Clyburn
334,DKS,Dick's Sporting Goods,Specialty Retailers: Other,Coraopolis,Pennsylvania,15108,www.dickssportinggoods.com,"35,800","$12,368","$12,148","$1,043",8.4,Lauren R. Hobart
