Rank,Ticker,Company,Industry,City,State,Zip,Website,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales),CEO
335,ES,Eversource Energy,Utilities: Gas and Electric,Springfield,Massachusetts,1104,www.eversource.com,"9,626","$12,289","$27,287","$1,405",11.4,Joseph R. Nolan
336,W,Wayfair,Internet Services and Retailing,Boston,Massachusetts,2116,www.wayfair.com,"15,745","$12,218","$3,796","-$1,331",-10.9,Niraj S. Shah
337,CYH,Community Health Systems,Health Care: Medical Facilities,Franklin,Tennessee,37067,www.chs.net,"58,500","$12,211",$670,$46,0.4,Tim L. Hingten
338,ALLY,Ally Financial,Diversified Financials,Detroit,Michigan,48226,www.ally.com,"11,600","$12,199","$7,668","$1,714",14.1,Jeffrey J. Brown
339,REGN,Regeneron Pharmaceuticals,Pharmaceuticals,Tarrytown,New York,10591,www.regeneron.com,"11,851","$12,173","$89,830","$4,338",35.6,Leonard S. Schleifer
340,LSXMA,Liberty Media,Entertainment,Englewood,Colorado,80112,www.libertymedia.com,"7,283","$12,164","$9,130","$1,815",14.9,Gregory B. Maffei
341,APA,APA,"Mining, Crude-Oil Production",Houston,Texas,77056,www.apacorp.com,"2,273","$12,132","$11,213","$3,674",30.3,John J. Christmann Iv
342,QRTEA,Qurate Retail,Internet Services and Retailing,Englewood,Colorado,80112,www.qurateretail.com,"24,683","$12,106",$406,"-$2,594",-21.4,David Rawlinson Ii
343,FE,FirstEnergy,Utilities: Gas and Electric,Akron,Ohio,44308,www.firstenergycorp.com,"12,335","$12,053","$22,924",$406,3.4,Brian X. Tierney
344,ADI,Analog Devices,Semiconductors and Other Electronic Components,Wilmington,Massachusetts,1887,www.analog.com,"24,450","$12,014","$99,764","$2,749",22.9,Vincent T. Roche
345,R,Ryder System,Transportation and Logistics,Miami,Florida,33178,www.ryder.com,"48,300","$12,011","$4,147",$867,7.2,Robert E. Sanchez
346,CAR,Avis Budget Group,"Automotive Retailing, Services",Parsippany,New Jersey,7054,www.avisbudgetgroup.com,"21,500","$11,994","$7,689","$2,764",23,Joseph A. Ferraro
347,UNM,Unum Group,"Insurance: Life, Health (Stock)",Chattanooga,Tennessee,37402,www.unum.com,"10,801","$11,991","$7,805","$1,314",11,Richard P. Mckenney
348,NEM,Newmont,"Mining, Crude-Oil Production",Denver,Colorado,80237,www.newmont.com,"14,600","$11,915","$38,947",-$429,-3.6,Thomas R. Palmer
349,VFC,VF,Apparel,Denver,Colorado,80202,www.vfc.com,"27,650","$11,842","$8,904","$1,387",11.7,Benno Dorer
350,CHK,Chesapeake Energy,"Mining, Crude-Oil Production",Oklahoma City,Oklahoma,73118,www.chk.com,"1,200","$11,743","$10,244","$4,936",42,Nick Dell'Osso
351,MHK,Mohawk Industries,"Home Equipment, Furnishings",Calhoun,Georgia,30701,www.mohawkind.com,"40,900","$11,737","$6,368",$25,0.2,Jeffrey S. Lorberbaum
352,MKL,Markel,Insurance: Property and Casualty (Stock),Glen Allen,Virginia,23060,www.markel.com,"20,900","$11,675","$17,094",-$214,-1.8,Thomas S. Gayner
353,EXPE,Expedia Group,Internet Services and Retailing,Seattle,Washington,98119,www.expediagroup.com,"16,500","$11,667","$14,879",$352,3,Peter M. Kern
354,CZR,Caesars Entertainment,"Hotels, Casinos, Resorts",Reno,Nevada,89501,www.caesars.com,"49,000","$11,647","$10,503",-$899,-7.7,Thomas R. Reeg
355,URI,United Rentals,Equipment Leasing,Stamford,Connecticut,6902,www.unitedrentals.com,"24,600","$11,642","$27,460","$2,105",18.1,Matthew J. Flannery
356,APO,Apollo Global Management,Securities,New York,New York,10019,www.apollo.com,"4,258","$11,627","$36,042","-$3,213",-27.6,Marc Rowan
357,DVA,DaVita,Health Care: Medical Facilities,Denver,Colorado,80202,www.davita.com,"70,000","$11,610","$7,332",$560,4.8,Javier J. Rodriguez
358,HES,Hess,"Mining, Crude-Oil Production",New York,New York,10036,www.hess.com,"1,623","$11,570","$40,520","$2,096",18.1,John B. Hess
359,FNF,Fidelity National Financial,Insurance: Property and Casualty (Stock),Jacksonville,Florida,32204,www.fnf.com,"21,759","$11,556","$9,508","$1,136",9.8,Mike Nolan
360,CAG,Conagra Brands,Food Consumer Products,Chicago,Illinois,60654,www.conagrabrands.com,"18,000","$11,536","$17,902",$888,7.7,Sean M. Connolly
361,UNVR,Univar Solutions,Wholesalers: Diversified,Downers Grove,Illinois,60515,www.univarsolutions.com,"9,746","$11,475","$5,521",$545,4.8,David C. Jukes
363,RJF,Raymond James Financial,Securities,St. Petersburg,Florida,33716,www.raymondjames.com,"17,000","$11,308","$20,086","$1,509",13.3,Paul C. Reilly
364,SEB,Seaboard,Food Production,Merriam,Kansas,66202,www.seaboardcorp.com,"12,614","$11,243","$4,376",$580,5.2,Robert L. Steer
365,CF,CF Industries Holdings,Chemicals,Deerfield,Illinois,60015,www.cfindustries.com,"2,659","$11,186","$14,206","$3,346",29.9,Tony Will
366,SPGI,S&P Global,Financial Data Services,New York,New York,10041,www.spglobal.com,"39,950","$11,181","$113,066","$3,248",29,Douglas L. Peterson
367,WRB,W.R. Berkley,Insurance: Property and Casualty (Stock),Greenwich,Connecticut,6830,www.berkley.com,"8,186","$11,167","$16,402","$1,381",12.4,Robert Berkley
368,AAP,Advance Auto Parts,Specialty Retailers: Other,Raleigh,North Carolina,27609,www.advanceautoparts.com,"53,500","$11,155","$7,208",$502,4.5,Thomas R. Greco
369,EME,EMCOR Group,Engineering & Construction,Norwalk,Connecticut,6851,www.emcorgroup.com,"35,500","$11,076","$7,754",$406,3.7,
370,WMB,Williams,Pipelines,Tulsa,Oklahoma,74172,www.williams.com,"5,043","$10,965","$36,394","$2,049",18.7,Alan S. Armstrong
371,IPG,Interpublic Group,"Advertising, Marketing",New York,New York,10022,www.interpublic.com,"58,400","$10,928","$14,341",$938,8.6,Phillippe Krakowsky
372,TA,TravelCenters of America,Specialty Retailers: Other,Westlake,Ohio,44145,www.ta-petro.com,"17,195","$10,845","$1,306",$164,1.5,Jonathan M. Pertchik
373,AMT,American Tower,Real Estate,Boston,Massachusetts,2116,www.americantower.com,"6,391","$10,711","$95,150","$1,766",16.5,Thomas A. Bartlett
374,TAP,Molson Coors Beverage,Beverages,Chicago,Illinois,60606,www.molsoncoors.com,"16,600","$10,701","$11,360",-$175,-1.6,Gavin D.K. Hattersley
375,HII,Huntington Ingalls Industries,Aerospace & Defense,Newport News,Virginia,23607,www.hii.com,"43,000","$10,676","$8,265",$579,5.4,Christopher D. Kastner
376,NVR,NVR,Homebuilders,Reston,Virginia,20190,www.nvrinc.com,"6,550","$10,580","$18,096","$1,726",16.3,Eugene J. Bredow
377,EMN,Eastman Chemical,Chemicals,Kingsport,Tennessee,37660,www.eastman.com,"14,500","$10,580","$10,048",$793,7.5,
379,NSIT,Insight Enterprises,Information Technology Services,Chandler,Arizona,85286,www.insight.com,"13,448","$10,431","$4,833",$281,2.7,Joyce Mullen
380,HSY,Hershey,Food Consumer Products,Hershey,Pennsylvania,17033,www.thehersheycompany.com,"18,970","$10,419","$51,909","$1,645",15.8,Michele G. Buck
381,NWSA,News Corp.,"Publishing, Printing",New York,New York,10036,www.newscorp.com,"25,500","$10,385","$9,972",$623,6,Robert J. Thomson
382,TOL,Toll Brothers,Homebuilders,Fort Washington,Pennsylvania,19034,www.tollbrothers.com,"5,200","$10,276","$6,647","$1,287",12.5,Douglas C. Yearley Jr.
383,ULTA,Ulta Beauty,Specialty Retailers: Other,Bolingbrook,Illinois,60440,www.ulta.com,"35,750","$10,209","$27,390","$1,242",12.2,David C. Kimbell
384,AIZ,Assurant,Insurance: Property and Casualty (Stock),Atlanta,Georgia,30339,www.assurant.com,"13,700","$10,193","$6,354",$277,2.7,Keith W. Demmings
385,WY,Weyerhaeuser,Forest and Paper Products,Seattle,Washington,98104,www.weyerhaeuser.com,"9,264","$10,184","$22,082","$1,880",18.5,Devin W. Stockfish
386,BIIB,Biogen,Pharmaceuticals,Cambridge,Massachusetts,2142,www.biogen.com,"8,725","$10,173","$40,171","$3,047",29.9,Christopher A. Viehbacher
387,DAN,Dana,Motor Vehicles & Parts,Maumee,Ohio,43537,www.dana.com,"41,800","$10,156","$2,172",-$242,-2.4,James K. Kamsickas
388,UGI,UGI,Utilities: Gas and Electric,King of Prussia,Pennsylvania,19406,www.ugicorp.com,"10,000","$10,106","$7,284","$1,073",10.6,Roger Perreault
389,CHWY,Chewy,Internet Services and Retailing,Plantation,Florida,33322,www.chewy.com,"19,400","$10,099","$15,959",$49,0.5,Sumit Singh
390,OMI,Owens & Minor,Wholesalers: Health Care,Mechanicsville,Virginia,23116,www.owens-minor.com,"22,500","$9,956","$1,109",$22,0.2,Edward A. Pesicka
391,DGX,Quest Diagnostics,Health Care: Pharmacy and Other Services,Secaucus,New Jersey,7094,www.questdiagnostics.com,"44,500","$9,883","$15,750",$946,9.6,James E. Davis
392,PEG,Public Service Enterprise Group,Utilities: Gas and Electric,Newark,New Jersey,7102,www.pseg.com,"12,525","$9,800","$31,148","$1,031",10.5,Ralph A. Larossa
393,EBAY,Ebay,Internet Services and Retailing,San Jose,California,95125,www.ebay.com,"11,600","$9,795","$23,821","-$1,269",-13,Jamie Iannone
394,MTZ,MasTec,Engineering & Construction,Coral Gables,Florida,33134,www.mastec.com,"32,000","$9,778","$7,441",$33,0.3,Jose R. Mas
395,OC,Owens Corning,"Building Materials, Glass",Toledo,Ohio,43659,www.owenscorning.com,"19,000","$9,761","$8,697","$1,241",12.7,Brian D. Chambers
396,CE,Celanese,Chemicals,Irving,Texas,75039,www.celanese.com,"13,263","$9,673","$12,068","$1,894",19.6,Lori J. Ryerkerk
397,ATUS,Altice USA,Telecommunications,Long Island City,New York,11101,www.alticeusa.com,"11,000","$9,648","$1,560",$195,2,Dennis Mathew
398,ALK,Alaska Air Group,Airlines,Seattle,Washington,98188,www.alaskaair.com,"24,196","$9,646","$5,348",$58,0.6,Benito Minicucci
399,SPTN,SpartanNash,Wholesalers: Food and Grocery,Byron Center,Michigan,49315,www.spartannash.com,"14,000","$9,643",$870,$35,0.4,Tony Sarsam
400,FANG,Diamondback Energy,"Mining, Crude-Oil Production",Midland,Texas,79701,www.diamondbackenergy.com,972,"$9,643","$24,816","$4,386",45.5,Travis D. Stice
401,ICE,Intercontinental Exchange,Securities,Atlanta,Georgia,30328,www.ice.com,"8,911","$9,636","$58,372","$1,446",15,Jeffrey C. Sprecher
402,DRI,Darden Restaurants,Food Services,Orlando,Florida,32837,www.darden.com,"178,956","$9,630","$18,884",$953,9.9,Rick Cardenas
403,UFPI,UFP Industries,"Building Materials, Glass",Grand Rapids,Michigan,49525,www.ufpi.com,"15,500","$9,627","$4,964",$693,7.2,Matthew J. Missad
404,WEC,WEC Energy Group,Utilities: Gas and Electric,Milwaukee,Wisconsin,53203,www.wecenergygroup.com,"7,022","$9,597","$29,900","$1,408",14.7,Scott J. Lauber
405,YUMC,Yum China Holdings,Food Services,Plano,Texas,75074,ir.yumchina.com,"275,500","$9,569","$26,517",$442,4.6,Joey Wat
406,ENLC,EnLink Midstream,Pipelines,Dallas,Texas,75201,www.enlink.com,"1,132","$9,542","$5,102",$361,3.8,Jesse Arenivas
408,NWL,Newell Brands,"Home Equipment, Furnishings",Atlanta,Georgia,30328,www.newellbrands.com,"28,000","$9,459","$5,145",$197,2.1,Christopher H. Peterson
409,GPK,Graphic Packaging Holding,"Packaging, Containers",Atlanta,Georgia,30328,www.graphicpkg.com,"24,000","$9,440","$7,829",$522,5.5,Michael Doss
410,OLN,Olin,Chemicals,Clayton,Montana,63105,www.olin.com,"7,780","$9,376","$7,263","$1,327",14.2,Scott M. Sutton
411,FITB,Fifth Third Bancorp,Commercial Banks,Cincinnati,Ohio,45263,www.53.com,"19,319","$9,353","$18,143","$2,446",26.2,Tim Spence
413,CNP,CenterPoint Energy,Utilities: Gas and Electric,Houston,Texas,77002,www.centerpointenergy.com,"8,986","$9,321","$18,589","$1,057",11.3,David J. Lesar
415,COMM,CommScope Holding,Network and Other Communications Equipment,Hickory,North Carolina,28602,www.commscope.com,"30,000","$9,228","$1,336","-$1,287",-13.9,Charles L. Treadway
416,KLAC,KLA,Semiconductors and Other Electronic Components,Milpitas,California,95035,www.kla.com,"14,140","$9,212","$55,277","$3,322",36.1,Rick Wallace
417,JBLU,JetBlue Airways,Airlines,Long Island City,New York,11101,www.jetblue.com,"18,785","$9,158","$2,383",-$362,-4,Robin Hayes
418,MSI,Motorola Solutions,Network and Other Communications Equipment,Chicago,Illinois,60661,www.motorolasolutions.com,"20,000","$9,112","$47,917","$1,363",15,Gregory Q. Brown
419,CFG,Citizens Financial Group,Commercial Banks,Providence,Rhose Island,2903,www.citizensbank.com,"18,889","$9,069","$14,709","$2,073",22.9,Bruce W. Van Saun
420,CTRA,Coterra Energy,"Mining, Crude-Oil Production",Houston,Texas,77024,www.coterra.com,"1,225","$9,051","$18,786","$4,065",44.9,Thomas E. Jorden
421,AVY,Avery Dennison,"Packaging, Containers",Mentor,Ohio,44060,www.averydennison.com,"36,000","$9,039","$14,513",$757,8.4,Mitchell R. Butier
422,PVH,PVH,Apparel,New York,New York,10017,www.pvh.com,"25,000","$9,024","$5,592",$200,2.2,Stefan Larsson
423,GXO,GXO Logistics,Transportation and Logistics,Greenwich,Connecticut,6831,www.gxo.com,"112,000","$8,993","$5,993",$197,2.2,Malcolm Wilson
424,PII,Polaris,Transportation Equipment,Medina,Minnesota,55340,www.polaris.com,"16,200","$8,987","$6,304",$447,5,Michael T. Speetzen
425,GPN,Global Payments,Financial Data Services,Atlanta,Georgia,30326,www.globalpaymentsinc.com,"25,000","$8,976","$27,761",$112,1.2,Jeffrey S. Sloan
426,ARNC,Arconic,Metals,Pittsburgh,Pennsylvania,15212,www.arconic.com,"11,550","$8,961","$2,607",-$182,-2,Timothy D. Myers
427,VRTX,Vertex Pharmaceuticals,Pharmaceuticals,Boston,Massachusetts,2210,www.vrtx.com,"4,800","$8,931","$81,002","$3,322",37.2,Reshma Kewalramani
428,CMC,Commercial Metals,Metals,Irving,Texas,75039,www.cmc.com,"12,483","$8,914","$5,727","$1,217",13.7,Barbara R. Smith
429,ALV,Autoliv,Motor Vehicles & Parts,Auburn Hills,Michigan,48326,www.autoliv.com,"65,300","$8,842","$8,013",$423,4.8,Mikael Bratt
430,STZ,Constellation Brands,Beverages,Victor,New York,14564,www.cbrands.com,"10,000","$8,821","$41,688",-$40,-0.5,Bill Newlands
431,HLT,Hilton Worldwide Holdings,"Hotels, Casinos, Resorts",McLean,Virginia,22102,www.hilton.com,"159,000","$8,773","$37,535","$1,255",14.3,Christopher J. Nassetta
432,FL,Foot Locker,Specialty Retailers: Apparel,New York,New York,10001,www.footlocker.com/corp,"31,040","$8,759","$3,708",$342,3.9,Mary N. Dillon
433,HUN,Huntsman,Chemicals,The Woodlands,Texas,77380,www.huntsman.com,"7,000","$8,715","$5,025",$460,5.3,Peter R. Huntsman
434,BURL,Burlington Stores,Specialty Retailers: Apparel,Burlington,New Jersey,8016,www.burlingtoninvestors.com,"38,018","$8,703","$13,123",$230,2.6,Michael B. O’Sullivan
435,HTZ,Hertz Global Holdings,"Automotive Retailing, Services",Estero,Florida,33928,www.hertz.com,"25,000","$8,685","$5,252","$2,059",23.7,Stephen M. Scherr
436,MAS,Masco,"Home Equipment, Furnishings",Livonia,Michigan,48152,www.masco.com,"19,000","$8,680","$11,207",$844,9.7,Keith J. Allman
437,WSM,Williams-Sonoma,Specialty Retailers: Other,San Francisco,California,94109,www.williams-sonomainc.com,"16,800","$8,674","$8,057","$1,128",13,Laura J. Alber
438,CMG,Chipotle Mexican Grill,Food Services,Newport Beach,California,92660,www.chipotle.com,"104,958","$8,635","$47,186",$899,10.4,Brian R. Niccol
439,MTB,M&T Bank,Commercial Banks,Buffalo,New York,14203,www.mtb.com,"22,509","$8,604","$20,093","$1,992",23.1,Rene F. Jones
440,LPLA,LPL Financial Holdings,Securities,San Diego,California,92121,www.lpl.com,"6,415","$8,601","$15,914",$846,9.8,Dan H. Arnold
441,CMS,CMS Energy,Utilities: Gas and Electric,Jackson,Michigan,49201,www.cmsenergy.com,"8,817","$8,596","$17,902",$837,9.7,Garrick J. Rochow
442,CPB,Campbell Soup,Food Consumer Products,Camden,New Jersey,8103,www.campbellsoupcompany.com,"14,700","$8,562","$16,465",$757,8.8,Mark A. Clouse
443,AJG,Arthur J. Gallagher,Diversified Financials,Rolling Meadows,Illinois,60008,www.ajg.com,"43,640","$8,551","$40,955","$1,114",13,Patrick Gallagher
444,BX,Blackstone,Diversified Financials,New York,New York,10154,www.blackstone.com,"4,695","$8,518","$62,048","$1,748",20.5,Stephen A. Schwarzman
445,DOV,Dover,Industrial Machinery,Downers Grove,Illinois,60515,www.dovercorporation.com,"25,000","$8,508","$21,237","$1,065",12.5,Richard J. Tobin
446,ODP,ODP,Specialty Retailers: Other,Boca Raton,Florida,33496,www.theodpcorp.com,"25,000","$8,491","$1,806",$166,2,Gerry P. Smith
447,PKG,Packaging Corp. of America,"Packaging, Containers",Lake Forest,Illinois,60045,www.packagingcorp.com,"15,100","$8,478","$12,479","$1,030",12.1,Mark W. Kowlzan
448,BHF,Brighthouse Financial,"Insurance: Life, Health (Stock)",Charlotte,North Carolina,28277,www.brighthousefinancial.com,"1,500","$8,473","$2,986",$5,0.1,
449,BECN,Beacon Roofing Supply,Wholesalers: Diversified,Herndon,Virginia,20170,www.becn.com,"7,478","$8,430","$3,781",$458,5.4,Julian G. Francis
450,ABNB,Airbnb,Internet Services and Retailing,San Francisco,California,94103,www.airbnb.com,"6,811","$8,399","$79,682","$1,893",22.5,Brian Chesky
451,BCC,Boise Cascade,Wholesalers: Diversified,Boise,Idaho,83702,www.bc.com,"6,840","$8,387","$2,506",$858,10.2,
452,BAH,Booz Allen Hamilton Holding,Information Technology Services,McLean,Virginia,22102,www.boozallen.com,"29,300","$8,364","$12,261",$467,5.6,Horacio D. Rozanski
453,WAB,Westinghouse Air Brake Technologies,Industrial Machinery,Pittsburgh,Pennsylvania,15212,www.wabteccorp.com,"27,000","$8,362","$18,226",$633,7.6,Rafael O. Santana
454,ON,ON Semiconductor,Semiconductors and Other Electronic Components,Scottsdale,Arizona,85250,www.onsemi.com,"31,055","$8,326","$35,560","$1,902",22.8,Hassane El-Khoury
455,OSK,Oshkosh,Construction and Farm Machinery,Oshkosh,Wisconsin,54902,www.oshkoshcorp.com,"15,000","$8,282","$5,445",$174,2.1,John C. Pfeifer
456,BEN,Franklin Resources,Securities,San Mateo,California,94403,www.franklinresources.com,"9,800","$8,275","$13,480","$1,292",15.6,Jenny Johnson
457,TMHC,Taylor Morrison Home,Homebuilders,Scottsdale,Arizona,85251,www.taylormorrison.com,"3,000","$8,225","$4,144","$1,053",12.8,Sheryl D. Palmer
458,AMRK,A-Mark Precious Metals,Wholesalers: Diversified,El Segundo,California,90245,www.amark.com,381,"$8,159",$815,$133,1.6,Gregory N. Roberts
459,KEY,KeyCorp,Commercial Banks,Cleveland,Ohio,44114,www.key.com,"17,660","$8,130","$11,579","$1,917",23.6,Christopher M. Gorman
460,ARKO,ARKO,Specialty Retailers: Other,Richmond,Virginia,23227,www.arkocorp.com,"12,223","$8,128","$1,020",$72,0.9,Arie Kotler
461,LULU,Lululemon athletica,Specialty Retailers: Apparel,Sumner,Washington,98390,www.lululemon.com,"34,000","$8,111","$46,312",$855,10.5,Calvin Mcdonald
462,ORI,Old Republic International,Insurance: Property and Casualty (Stock),Chicago,Illinois,60601,www.oldrepublic.com,"9,500","$8,084","$7,399",$686,8.5,Craig R. Smiddy
463,ZTS,Zoetis,Pharmaceuticals,Parsippany,New Jersey,7054,www.zoetis.com,"13,800","$8,080","$77,053","$2,114",26.2,Kristin C. Peck
464,MRO,Marathon Oil,"Mining, Crude-Oil Production",Houston,Texas,77024,www.marathonoil.com,"1,570","$8,036","$15,087","$3,612",44.9,Lee M. Tillman
465,SJM,J.M. Smucker,Food Consumer Products,Orrville,Ohio,44667,www.jmsmucker.com,"6,700","$7,999","$16,781",$632,7.9,Mark T. Smucker
466,HBAN,Huntington Bancshares,Commercial Banks,Columbus,Ohio,43287,www.huntington.com,"19,920","$7,950","$16,236","$2,238",28.2,Stephen D. Steinour
467,NGL,NGL Energy Partners,Pipelines,Tulsa,Oklahoma,74136,www.nglenergypartners.com,842,"$7,948",$381,-$185,-2.3,Michael Krimbill
468,INGR,Ingredion,Food Production,Westchester,Illinois,60154,www.ingredion.com,"11,700","$7,946","$6,711",$492,6.2,James (Jim) Zallie
469,FBIN,Fortune Brands Innovations,"Building Materials, Glass",Deerfield,Illinois,60015,www.fbin.com,"11,200","$7,923","$7,457",$687,8.7,Nicholas Fink
470,PPL,PPL,Utilities: Gas and Electric,Allentown,Pennsylvania,18101,www.pplweb.com,"6,527","$7,902","$20,472",$756,9.6,Vincent Sorgi
471,SANM,Sanmina,Semiconductors and Other Electronic Components,San Jose,California,95134,www.sanmina.com,"36,000","$7,891","$3,559",$256,3.2,Jure Sola
472,BBBY,Bed Bath & Beyond,Specialty Retailers: Other,Union,New Jersey,7083,www.bedbathandbeyond.com,"32,000","$7,868",$183,-$560,-7.1,Sue E. Gove
473,CTAS,Cintas,Diversified Outsourcing Services,Cincinnati,Ohio,45262,www.cintas.com,"43,000","$7,855","$47,042","$1,236",15.7,Todd M. Schneider
474,NCR,NCR,"Computers, Office Equipment",Atlanta,Georgia,30308,www.ncr.com,"35,000","$7,844","$3,304",$60,0.8,Michael Hayford
475,ABM,ABM Industries,Diversified Outsourcing Services,New York,New York,10006,www.abm.com,"127,000","$7,807","$2,971",$230,3,Scott B. Salmirs
476,ROK,Rockwell Automation,"Electronics, Electrical Equip.",Milwaukee,Wisconsin,53204,www.rockwellautomation.com,"26,000","$7,760","$33,683",$932,12,Blake D. Moret
477,NTRS,Northern Trust,Commercial Banks,Chicago,Illinois,60603,www.northerntrust.com,"23,600","$7,752","$18,309","$1,336",17.2,Michael G. O'Grady
478,XPO,XPO,Transportation and Logistics,Greenwich,Connecticut,6831,www.xpo.com,"39,500","$7,718","$3,685",$666,8.6,Mario A. Harik
479,SAIC,Science Applications International,Information Technology Services,Reston,Virginia,20190,www.saic.com,"25,000","$7,704","$5,871",$300,3.9,Nazzic S. Keene
480,AEE,Ameren,Utilities: Gas and Electric,St. Louis,Missouri,63103,www.ameren.com,"9,244","$7,662","$22,675","$1,074",14,Martin J. Lyons Jr.
481,FAF,First American Financial,Insurance: Property and Casualty (Stock),Santa Ana,California,92707,www.firstam.com,"21,153","$7,605","$5,750",$263,3.5,Kenneth D. Degiorgio
482,BBWI,Bath & Body Works,Specialty Retailers: Other,Columbus,Ohio,43230,www.bbwinc.com,"33,000","$7,560","$8,368",$800,10.6,Gina Boswell
483,RF,Regions Financial,Commercial Banks,Birmingham,Alabama,35203,www.regions.com,"20,073","$7,531","$17,346","$2,245",29.8,John M. Turner Jr.
484,ATVI,Activision Blizzard,Entertainment,Santa Monica,California,90404,www.activisionblizzard.com,"13,000","$7,528","$67,126","$1,513",20.1,Bobby Kotick
485,AVTR,Avantor,"Scientific, Photographic and Control Equipment",Radnor,Pennsylvania,19087,www.avantorsciences.com,"14,500","$7,512","$14,271",$687,9.1,Michael Stubblefield
486,GNW,Genworth Financial,"Insurance: Life, Health (Stock)",Richmond,Virginia,23230,www.genworth.com,"2,500","$7,507","$2,477",$609,8.1,Thomas J. Mcinerney
487,EQT,EQT,Energy,Pittsburgh,Pennsylvania,15222,www.eqt.com,744,"$7,498","$11,499","$1,771",23.6,Toby Z. Rice
488,SKX,Skechers U.S.A.,Apparel,Manhattan Beach,California,90266,www.skechers.com,"11,450","$7,445","$7,379",$373,5,Robert Greenberg
489,LSTR,Landstar System,"Trucking, Truck Leasing",Jacksonville,Florida,32224,www.landstar.com,"1,449","$7,440","$6,457",$431,5.8,James B. Gattoni
490,KNX,Knight-Swift Transportation Holdings,"Trucking, Truck Leasing",Phoenix,Arizona,85027,www.knight-swift.com,"28,300","$7,429","$9,106",$771,10.4,David A. Jackson
491,SIVBQ,SVB Financial Group,Commercial Banks,Santa Clara,California,95054,www.svb.com,"8,553","$7,401",$54,"$1,672",22.6,William Kosturos
492,PARR,Par Pacific Holdings,Petroleum Refining,Houston,Texas,77024,www.parpacific.com,"1,397","$7,322","$1,773",$364,5,William C. Pate
493,ALB,Albemarle,Chemicals,Charlotte,North Carolina,28209,www.albemarle.com,"7,400","$7,320","$25,928","$2,690",36.7,Kent Masters
494,VMC,Vulcan Materials,"Building Materials, Glass",Birmingham,Alabama,35242,www.vulcanmaterials.com,"11,974","$7,315","$22,827",$576,7.9,Thomas Hill
495,WSO,Watsco,Wholesalers: Diversified,Miami,Florida,33133,www.watsco.com,"7,238","$7,274","$12,354",$601,8.3,Albert H. Nahmad
496,KKR,KKR,Securities,New York,New York,10001,www.kkr.com,"4,150","$7,273","$45,225",-$841,-11.6,Joseph Y. Bae
497,EQIX,Equinix,Real Estate,Redwood City,California,94065,www.equinix.com,"12,097","$7,263","$66,873",$704,9.7,Charles Meyers
498,SON,Sonoco Products,"Packaging, Containers",Hartsville,South Carolina,29550,www.sonoco.com,"22,000","$7,251","$5,975",$466,6.4,Howard Coker
499,NOW,ServiceNow,Computer Software,Santa Clara,California,95054,www.servicenow.com,"20,433","$7,245","$94,338",$325,4.5,Bill Mcdermott
500,RHI,Robert Half International,Temporary Help,Menlo Park,California,94025,www.roberthalf.com,"16,300","$7,238","$8,677",$658,9.1,Keith Waddell